id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
r0000,mitchell,green,7,wallaby place,delmar,cleveland,2119,sa,19560409,1804974
r0001,harley,mccarthy,177,pridhamstreet,milton,marsden,3165,nsw,19080419,6089216
r0002,madeline,mason,54,hoseason street,lakefront retrmnt vlge,granville,4881,nsw,19081128,2185997
r0003,isabelle,,23,gundulu place,currin ga,utakarra,2193,wa,19921119,4314184
r0004,taylor,hathaway,7,yuranigh court,brentwood vlge,,4220,nsw,19991207,9144092
r0005,toby,webb,6,kent street,kersey' south,towradgi,3107,nsw,19940503,1232838
r0006,harry,stubs,,mountain creek road,,eaton,7310,vic,19721113,8317467
r0007,lydia,mccattmhy,32,mckillop ecircuit,telemon orchards,corio,4670,nsw,19751220,1835068
r0008,hollie,lillie-hinrichs,27,hemmings crescent,kilvintonvillage,banyo,4030,,19251130,4920253
r0009,dylan,zilm,17,blameycrescent,condinup,wattle glen,4211,vic,19671229,4892623
r0010,,donaldson,14,manity court,pacific terraces,charmhaven,3101,vic,19940825,9817986
r0011,isabella,vincent,16,wilshiredstreet,erinsavle,rose ay,6207,vic,19760517,8693348
r0012,connor,bishop,27,jarreah,mackinnon street,aspley,6052,,19200417,8871067
r0013,connor,shepherd,39,burnage place,rowethorpe,winstonhills,3183,nsw,19320907,5731308
r0014,natalia,gredn,358,macrossan crescent,newman medicajl centre,yagoona,2535,qld,19910111,3131587
r0015,georgia,pettigrove,5,sinclair street,pinds,prairei,2478,nsw,19231019,9695933
r0016,wilson,pitno,11,bousteadcircuit,jewells medical centre,granville,3161,qld,19971229,8930019
r0017,andrew,klander,20,newman morris circuit,the willows,homebush,2285,vic,19761017,5392569
r0018,tahni,skeen,11,macfarland crescent,,ryde,3220,,19231110,4111794
r0019,kasey,millar,,burdekin avenue,crown allot,woollahra,4217,qld,19930714,7442486
r0020,keziah,parr,20,clift crecent,bro okvale,murphys rceek,2761,nsw,19550103,3697304
r0021,braecon,schuetz,122,howarth place,villa 19,alice springs,2028,vic,19440909,5276446
r0022,nemesia,grifefn,10,derrington c rescent,hd curramulka,beechboro,2262,nsw,19870509,9760949
r0023,,white,21,boobialla street,sheep s tation,carlingford,2830,qld,19241214,2042443
r0024,quilliam,ashleigh,57,bedford s treet,rosall,surrey hills,6525,nsw,19460730,6408579
r0025,jacqueline,daykin,21,mackie crescent,logan central plaza,pottsville beach,2213,qld,19510605,1615186
r0026,amelia,benger,51,macalister crescent,,sippy downs,4110,nsw,19420909,8671640
r0027,rily,gloster,24,farrerplace,,frankston,3178,nsw,19590124,2526809
