rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
rec-0-org,rachael,dent,1,knox street,lakewood estate,byford,4129,vic,19280722,1683994
rec-1-org,isabella,everett,25,pike place,rowethorpe,marsden,2152,nsw,19110816,6653129
rec-2-org,olivia,trigwell,13,waldock street,wilpena,new lambton heights,3194,vic,19571126,9991752
rec-3-org,reeve,stanley,4,alawa street,rowethorpe d1,mourilyan,2474,sa,19190811,5961670
rec-4-org,jayde,crouch,42,weston street,waimaru,niagara park,2119,wa,19250406,8892697
rec-5-org,josephine,yu,145,hensman street,lambar,burwood,6164,wa,19110903,5792336
rec-6-org,holly,petersen,13,marou place,never die,birkdale,6530,nsw,19271213,9500792
rec-7-org,jasmine,silvestro,41,nott street,tathra river est,middleton beach,3173,nsw,19560720,9873948
rec-8-org,nicholas,procter,1,cavanaugh street,sherwood,leeville,2089,nsw,19031219,2662272
rec-9-org,paris,reid,39,crowder circuit,,st ives,3225,vic,19980826,2553313
rec-10-org,lachlan,reid,5,carrington road,legacy vlge,yagoona,2464,nsw,19500531,3232033
rec-11-org,jake,fawkner,,wolff crescent,,proserpine,4011,vic,19500506,3844004
rec-12-org,caitlin,hingston,29,braine street,,willagee,6020,nsw,19980805,7044257
rec-13-org,thomas,slack-smith,106,hawken street,emmaus vlge,kirwan,2566,vic,19900607,2094894
rec-14-org,raquel,lodge,60,archibald street,,balwyn north,2025,wa,19280505,9100106
rec-15-org,kyle,brain,8,stillwell place,gillin park,bellambi,2320,,19630812,8358959
rec-16-org,jade,innis,9,gingana street,ivydale (rsd 1820),seventeen mile rocks,2011,qld,19170426,2049123
rec-17-org,william,dixon,89,longman street,fernlea,rosebud,3315,nsw,19960927,7060978
rec-18-org,riley,kerr-sullivan,166,clem hill street,mindaree,oyster bay,7325,vic,19090429,7355856
rec-19-org,chloe,radinger,5,chandler street,namarva station,hawthorn,2614,vic,19120808,8644024
rec-20-org,brody,lowe,100,waller crescent,keanor,armidale,4055,sa,19900409,8444970
rec-21-org,abbey,hoffman,6,colmer street,rosetta village,keilor,4285,nsw,19070925,4455111
