rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
0,rachael,dent,4,knox street,lakewood estate,byford,4129,vic,19280722,1683994
1,isabella,everett,25,pike mlace,rowethorpe,marsden,2152,nsw,19110816,6653129
2,olivia,trigwell,13,waldock street,wilpena,newlambto nheights,3194,vic,19571126,9991752
3,reeve,stanlhy,4,alawa street,rowethorpe d1,mourilyan,2474,sa,19190811,5961670
4,ja yde,crouch,42,westo atreet,waimaru,niagara park,2119,wa,19250406,8892697
5,josephine,yu,145,hensman street,lambar,burwood,6164,wa,19310920,5792336
6,holy,petersen,13,marou place,never die,birkdale,6530,nsw,19271213,9500792
7,angus,silvestro,41,nott street,tathra river est,middleton beach,3137,nsw,19560720,9873948
8,nicholas,procter,1,cavanaughlstreet,sherwood,leevflle,2089,nsw,19031219,2662272
9,paris,reid,39,crowder circuit,,st ives,3225,vic,19980826,2543313
10,lachlnn,reid,5,carrington road,legacy vlge,yagoona,2446,nsw,19500531,3232033
11,jake,fawkner,,wolff crescent,,proserpine,4011,vic,,3844004
12,caittin,hingsyton,29,braine street,,wilalgee,6200,,19980805,7044257
13,thomas,slack-smith,106,hawkenstreet,emmaus vlge,kirwxn,2566,vic,19900607,2094894
14,garnett,raquel,60,tepper circuit,,balwyn north,2025,wa,19280505,9109106
15,kye,brain,8,stillwell place,,bellambi,2320,nsw,19630812,8358959
16,jare,innis,9,gingana street,,cooloongup,2011,qld,19170426,2049123
17,kobe,dixon,146,longman street,fernlea,rosebud,3315,nsw,19960927,7060978
18,riley,kerr-sullivan,166,clem hill street,mindaree,oyster bay,7325,nsw,19991104,7355856
19,,radinger,5,namarva station,chandler street,hawthorn,2614,vtc,19120808,8644024
20,bfody,lowe,100,waller crescent,keaonr,armidale,4055,sa,19900409,8444970
21,abbey,hoffman,6,colmer street,rosetta jfillage,keilor,4285,nsw,19070925,4455111
22,tayah,white,15,stenhouse close,,mona vale,2206,sa,19390323,2815977
23,apce,musolino,16,guerin place,rosett a village,thornbury,4010,nsw,19640423,5906492
24,lauren,mellick,54,lewis luxton aevnue,,cooks hill,2161,qld,19561107,9988724
25,joel,campbell,,savige street,glemore,arana hills,3152,nsw,19880824,5412397
26,rhys,campbdll,37,brentwood village,uptonsttreet,woollahra,3355,wa,19990213,2201146
27,angelina,campbell,190,jackie howe crescent,bugoren,woorim,6352,nsw,19531108,8948230
28,blake,brac ci,159,duffy street,hillcrestlodge,bacchus marsh,4510,nsw,19590213,9950906
29,kylee,kincaid,16,eucumbene drive,,sunshine,2232,qld,,4662381
30,xavier,campbell,9,norton street,pine casmp,coniston,5092,nsw,19640316,9178267
31,laura,white,67,arndell street,,hoppers crowsing,6053,vic,19900615,7517707
32,cale,spurden,119,mcalpine place,greensopes,boyne island,4228,sa,19580816,8017617
33,clarke,ryan,42,goodchild street,villa 5,sandy bay,4565,nsw,19940903,9100049
34,mollie,castelleri,5,jackiehowe crescent,,ardmona,3976,wa,19760616,1378454
35,kiandra,lock,33,dampier vrescent,kalang,cardiff,3500,qld,19330410,1004953
36,,bottcoff,5,jindivik place,homewood,meringandan,3222,vic,19640816,5214622
37,lachlan-john,snelling,20,summerville crescent,,maldon,3206,vic,19660114,7931741
38,aiden,thorpe,51,chauvel circle,eureka,rowville,2767,nsw,19270407,6959840
39,gabrielle,blaje,360,hardwick crescent,carramar home,camp hill,2001,qld,19960302,5207765
40,finlay,,3,summerland circuit,,auburn,3216,tas,19001106,5825057
41,luc,drought,1,solander place,janefield,moonah west,4879,vic,19230101,7649261
42,sarah,pringle,49,pitcairn street,riverside park,meadow sprngs,3305,qld,,1621253
43,sarah,neylonb,54,wilkinson street,,guilderton,2481,nsw,,3794258
44,natassia,grubb,224,merv waite stvreet,kookaburra village,currambine,2817,vic,19960704,4790954
45,adam,coleman,14,ewart sdreet,camrai village,springfield,2795,nsw,19491208,6543835
46,aprl,bellchambers,2,borrowdal street,,wunghnu,2080,qld,19970426,8134681
47,finn,whit e,403,mcculloch street,all saints college,kempsey,6084,qld,19450410,9601625
48,georgia,shih,14,hopeview,furey street,toowoomba,6008,nsw,19870324,1794716
49,madison,bradxhaw,13,jardine street,,norwood,2335,sq,19490115,8836136
50,emerson,reid,5,kater p lace,forest views,acacia ridge,4215,nt,19820814,2582300
51,adam,,37,freda gibson circuit,cryode,paddington,2770,sa,19401209,3593307
52,abbye,dixon,1,marcus clarke street,grasmere park,scarborough,3141,qld,19441008,8127929
53,molly,parr,25,jerrabomberea avenue,villa 80,mayfield,2082,nsw,19500910,7961724
54,imowen,whillas,121,embley street,flowerydale,molong,2170,tas,19090319,7145066
55,harrison,herert,9,davidson street,allamby biala street,mulgrave east,4871,nsw,19480129,4129781
56,jacob,mcfaddeen,70,cowdery lace,plumpotn park,sunshine,5086,nsw,19090731,9735499
57,erin,fedst,23,brentnallz place,blacklea d farm,atherton,4650,nsw,19181028,1261908
58,jayde,glass,15,macarthur avenue,shillelath park,glenella,3200,vic,19161226,9446536
59,harley,paepke,24,callaghan street,hd aloenby,jindalee,7250,nsw,19120621,6421301
60,tiana,ryan,146,doyle terrace,danric lodge,totteham,3355,sa,19280723,9762204
61,kynan,sincovich,95,,,barrack heights,4222,nsw,19470922,4440480
62,jake,coleman,1,sturt avnue,rivonia,sunshine north,3058,naw,19450706,6061178
63,max,george,52,bunbury sgreet,doctors flat,coolumbeach,2239,vic,19031106,1932739
64,emiily,godfrey,5,federav highway,tannamu rra,bundaberg,4605,qld,19281007,8378813
65,benjamin,moody,43,fernyhough crescent,huongold,port augusta,3192,vic,19180612,4887764
66,koula,houseling,3,mileha m street,old airdmillan road,williamstown,2350,nsw,19440718,6375537
67,erin,matthews,10,williamson street,yaraan,kilcyo,4218,qld,19991129,7747845
68,riy,howie,59,reader clurt,rosebery hill,wanniassa,4213,qld,19360115,9350479
69,shaun,sleath,5,moorhouse street,inverenaath,eight mile plains,3805,sa,19580910,2873897
70,boyle,andrew,1,curtain p lace,,picton,3184,qld,19400722,1618417
71,connor,tromp,8,eildonplace,willtarny,east maitland,7440,qld,19280129,8096262
72,keira,lowae,15,morant circuit,wilding,warburton,4061,qld,19900523,4044906
73,eloise,afford,188,dennystreet,fairfield housing bg,caves beach,2118,nsq,19090702,8884493
74,pia,nguyen,2,eyre street,,lake clarendon,5023,nt,19591021,6742110
75,lachlan,webb,19,national circuit,,lockyer,7250,qld,19370423,4001224
76,,miteff,10,goldenoaks village,tristania street,brookvale,3156,nsw,19550618,9393296
77,gillian,chanlder,232,caladenia street,,gowrie,3150,nsw,19960922,4237925
78,stelio,minter,23,mehaffey rescent,airforce memofial estate,roleystone,2456,nsw,19540125,3373062
79,joel,runnle,108,reveley crescent,st vincents hospital,dunsboorugh,2317,nsw,19780403,8984765
80,blake,white,198,boldrewood street,winterp ark,nunawading,2067,sa,19180815,5832531
81,daniele,burford,71,waddell place,pine view,june,4055,qld,,3005084
82,alice,godfrey,2919,florence taylor street,,kemosye,2761,vic,19910330,3541229
83,joshua,stalney,1,weddin circuit,rocklands,cabraatta,7320,nsw,19381229,5425400
84,georgr,de oar,30,gungurra crescent,black snake creek,exeter,2430,nsw,19051129,2671881
85,dakin,joselyn,57,aberneth ystreet,kanangra hostel,manundza,3028,wa,19261205,4852063
86,abbie,son,17,sharwood ccescent,wayside,lakemba,2866,ss,19409716,3651118
87,shandril,,6,maclean street,seaford,ganmain,7006,vic,19410912,2925713
88,sebastian,ryan,465,mathews place,don ray,spencer park,4210,nsw,19080114,8520668
89,ned,glennon,46,donohoe place,australi a arcade,menangle,2222,vic,19750118,6310028
90,barnaby,godfrey,18,hopegood place,ostesr,brighton,5086,nsw,19461029,9137216
91,jacob,clarke,10,ebden street,,loganlea,6061,tas,19181001,4259955
92,alana,frahn,530,a'beckett street,,lakes enrance,2477,vic,19630307,4624078
93,charlotte,bristow,22,nioai,mockridge crescent,harbord,5086,nsw,19351112,4814908
94,james,compton,19,landsborough street,st john of god hospital,edithvale,2234,nsw,19340309,3926610
95,kiana,webb,144,cooling place,,norwood,0800,sa,19880716,8983519
96,georbe,macah,25,tepper ircuit,erinsr est,mooroola,2758,vic,19270326,8072800
97,campbell,dichiera,478,quiros street,edenlea r eutrement,frenchs forest,2478,qld,19851030,7481927
98,elana,mchenry,80,gurnaiplace,umavale,eatin,4215,vic,19304302,4214409
99,kyle,wehr,27,naas close,rowethorpe,stocktln,2151,wa,19440131,7528586
100,hayden,stapley,,tindale street,villa 2,cromer heights,4125,vic,,4620080
101,dillon,colenan,8,paul coe crescent,clinton caarvan park,yarraville,3260,nsw,19531117,1835941
102,elli,sindorff,15,lansell circuit,palestine,yagoona,2148,sa,19671114,5791840
103,amelia,kingswell,,sunny rbaes,balbo place,tuchekoi,3192,vic,19520510,7388956
104,danilela,steinbacher,43,brigden crescent,thevillage condo 7,bridgewater,6110,vid,19360208,7992465
105,breony,webb,168,lewis luxton avenue,court units,duncraig,4216,nsw,19680529,8214196
